difficulty,env,episode,score,seed
easy,single,1,0.9122534722222222,0
easy,single,2,0.9835034722222222,1
easy,single,3,0.9835034722222222,2
easy,single,4,0.9122534722222222,3
easy,single,5,0.9835034722222222,4
easy,single,6,0.9835034722222222,5
easy,single,7,0.9122534722222222,6
easy,single,8,0.9835034722222222,7
easy,single,9,0.9835034722222222,8
easy,single,10,0.9122534722222222,9
easy,single,11,0.9835034722222222,10
easy,single,12,0.9835034722222222,11
easy,single,13,0.9122534722222222,12
easy,single,14,0.9835034722222222,13
easy,single,15,0.9835034722222222,14
easy,single,16,0.9122534722222222,15
easy,single,17,0.9835034722222222,16
easy,single,18,0.9835034722222222,17
easy,single,19,0.9122534722222222,18
easy,single,20,0.9835034722222222,19
easy,single,21,0.9835034722222222,20
easy,single,22,0.9122534722222222,21
easy,single,23,0.9835034722222222,22
easy,single,24,0.9835034722222222,23
easy,single,25,0.9122534722222222,24
easy,single,26,0.9835034722222222,25
easy,single,27,0.9835034722222222,26
easy,single,28,0.9122534722222222,27
easy,single,29,0.9835034722222222,28
easy,single,30,0.9835034722222222,29
medium,single,31,0.9428430555555556,0
medium,single,32,0.9428430555555556,1
medium,single,33,0.9428430555555556,2
medium,single,34,0.9428430555555556,3
medium,single,35,0.9428430555555556,4
medium,single,36,0.9428430555555556,5
medium,single,37,0.9428430555555556,6
medium,single,38,0.9428430555555556,7
medium,single,39,0.9428430555555556,8
medium,single,40,0.9428430555555556,9
medium,single,41,0.9428430555555556,10
medium,single,42,0.9428430555555556,11
medium,single,43,0.9428430555555556,12
medium,single,44,0.9428430555555556,13
medium,single,45,0.9428430555555556,14
medium,single,46,0.9428430555555556,15
medium,single,47,0.9428430555555556,16
medium,single,48,0.9428430555555556,17
medium,single,49,0.9428430555555556,18
medium,single,50,0.9428430555555556,19
medium,single,51,0.9428430555555556,20
medium,single,52,0.9428430555555556,21
medium,single,53,0.9428430555555556,22
medium,single,54,0.9428430555555556,23
medium,single,55,0.9428430555555556,24
medium,single,56,0.9428430555555556,25
