difficulty,episode,score,seed
easy,1,0.9455868055555556,0
easy,2,0.99,1
easy,3,0.99,2
easy,4,0.9455868055555556,3
easy,5,0.99,4
easy,6,0.99,5
easy,7,0.9455868055555556,6
easy,8,0.99,7
easy,9,0.99,8
easy,10,0.9455868055555556,9
easy,11,0.99,10
easy,12,0.99,11
easy,13,0.9455868055555556,12
easy,14,0.99,13
easy,15,0.99,14
easy,16,0.9455868055555556,15
easy,17,0.99,16
easy,18,0.99,17
easy,19,0.9455868055555556,18
easy,20,0.99,19
easy,21,0.99,20
easy,22,0.9455868055555556,21
easy,23,0.99,22
easy,24,0.99,23
easy,25,0.9455868055555556,24
easy,26,0.99,25
easy,27,0.99,26
easy,28,0.9455868055555556,27
easy,29,0.99,28
easy,30,0.99,29
medium,31,0.9522222222222223,0
medium,32,0.9522222222222223,1
medium,33,0.9522222222222223,2
medium,34,0.9522222222222223,3
medium,35,0.9522222222222223,4
medium,36,0.9522222222222223,5
medium,37,0.9522222222222223,6
medium,38,0.9522222222222223,7
medium,39,0.9522222222222223,8
medium,40,0.9522222222222223,9
medium,41,0.9522222222222223,10
medium,42,0.9522222222222223,11
medium,43,0.9522222222222223,12
medium,44,0.9522222222222223,13
medium,45,0.9522222222222223,14
medium,46,0.9522222222222223,15
medium,47,0.9522222222222223,16
medium,48,0.9522222222222223,17
medium,49,0.9522222222222223,18
medium,50,0.9522222222222223,19
medium,51,0.9522222222222223,20
medium,52,0.9522222222222223,21
medium,53,0.9522222222222223,22
medium,54,0.9522222222222223,23
medium,55,0.9522222222222223,24
medium,56,0.9522222222222223,25
medium,57,0.9522222222222223,26
medium,58,0.9522222222222223,27
medium,59,0.9522222222222223,28
medium,60,0.9522222222222223,29
hard,61,0.934,0
hard,62,0.934,1
hard,63,0.934,2
hard,64,0.934,3
hard,65,0.934,4
hard,66,0.934,5
hard,67,0.934,6
hard,68,0.934,7
hard,69,0.934,8
hard,70,0.934,9
hard,71,0.934,10
hard,72,0.934,11
hard,73,0.934,12
hard,74,0.934,13
hard,75,0.934,14
hard,76,0.934,15
hard,77,0.934,16
hard,78,0.934,17
hard,79,0.934,18
hard,80,0.934,19
hard,81,0.934,20
hard,82,0.934,21
hard,83,0.934,22
hard,84,0.934,23
hard,85,0.934,24
hard,86,0.934,25
hard,87,0.934,26
hard,88,0.934,27
hard,89,0.934,28
hard,90,0.934,29
