difficulty,episode,score,seed
easy,1,0.4107904375,0
easy,2,0.4107904375,1
easy,3,0.4107904375,2
easy,4,0.4107904375,3
easy,5,0.4107904375,4
easy,6,0.4107904375,5
easy,7,0.4107904375,6
easy,8,0.4107904375,7
easy,9,0.4107904375,8
easy,10,0.4107904375,9
easy,11,0.4107904375,10
easy,12,0.4107904375,11
easy,13,0.4107904375,12
easy,14,0.4107904375,13
easy,15,0.4107904375,14
easy,16,0.4107904375,15
easy,17,0.4107904375,16
easy,18,0.4107904375,17
easy,19,0.4107904375,18
easy,20,0.4107904375,19
easy,21,0.4107904375,20
easy,22,0.4107904375,21
easy,23,0.4107904375,22
easy,24,0.4107904375,23
easy,25,0.4107904375,24
easy,26,0.4107904375,25
easy,27,0.4107904375,26
easy,28,0.4107904375,27
easy,29,0.4107904375,28
easy,30,0.4107904375,29
medium,31,0.15946100000000002,0
medium,32,0.15946100000000002,1
medium,33,0.15946100000000002,2
medium,34,0.15946100000000002,3
medium,35,0.15946100000000002,4
medium,36,0.15946100000000002,5
medium,37,0.15946100000000002,6
medium,38,0.15946100000000002,7
medium,39,0.15946100000000002,8
medium,40,0.15946100000000002,9
medium,41,0.15946100000000002,10
medium,42,0.15946100000000002,11
medium,43,0.15946100000000002,12
medium,44,0.15946100000000002,13
medium,45,0.15946100000000002,14
medium,46,0.15946100000000002,15
medium,47,0.15946100000000002,16
medium,48,0.15946100000000002,17
medium,49,0.15946100000000002,18
medium,50,0.15946100000000002,19
medium,51,0.15946100000000002,20
medium,52,0.15946100000000002,21
medium,53,0.15946100000000002,22
medium,54,0.15946100000000002,23
medium,55,0.15946100000000002,24
medium,56,0.15946100000000002,25
medium,57,0.15946100000000002,26
medium,58,0.15946100000000002,27
medium,59,0.15946100000000002,28
medium,60,0.15946100000000002,29
hard,61,0.28617916305999996,0
hard,62,0.19771699734,1
hard,63,0.28617916305999996,2
hard,64,0.19771699734,3
hard,65,0.28617916305999996,4
hard,66,0.19771699734,5
hard,67,0.28617916305999996,6
hard,68,0.19771699734,7
hard,69,0.28617916305999996,8
hard,70,0.19771699734,9
hard,71,0.28617916305999996,10
hard,72,0.19771699734,11
hard,73,0.28617916305999996,12
hard,74,0.19771699734,13
hard,75,0.28617916305999996,14
hard,76,0.19771699734,15
hard,77,0.28617916305999996,16
hard,78,0.19771699734,17
hard,79,0.28617916305999996,18
hard,80,0.19771699734,19
hard,81,0.28617916305999996,20
hard,82,0.19771699734,21
hard,83,0.28617916305999996,22
hard,84,0.19771699734,23
hard,85,0.28617916305999996,24
hard,86,0.19771699734,25
hard,87,0.28617916305999996,26
hard,88,0.19771699734,27
hard,89,0.28617916305999996,28
hard,90,0.19771699734,29
