difficulty,episode,score,seed
easy,1,0.9122534722222222,0
easy,2,0.9835034722222222,1
easy,3,0.9835034722222222,2
easy,4,0.9122534722222222,3
easy,5,0.9835034722222222,4
easy,6,0.9835034722222222,5
easy,7,0.9122534722222222,6
easy,8,0.9835034722222222,7
easy,9,0.9835034722222222,8
easy,10,0.9122534722222222,9
easy,11,0.9835034722222222,10
easy,12,0.9835034722222222,11
easy,13,0.9122534722222222,12
easy,14,0.9835034722222222,13
easy,15,0.9835034722222222,14
easy,16,0.9122534722222222,15
easy,17,0.9835034722222222,16
easy,18,0.9835034722222222,17
easy,19,0.9122534722222222,18
easy,20,0.9835034722222222,19
easy,21,0.9835034722222222,20
easy,22,0.9122534722222222,21
easy,23,0.9835034722222222,22
easy,24,0.9835034722222222,23
easy,25,0.9122534722222222,24
easy,26,0.9835034722222222,25
easy,27,0.9835034722222222,26
easy,28,0.9122534722222222,27
easy,29,0.9835034722222222,28
easy,30,0.9835034722222222,29
medium,31,0.9428430555555556,0
medium,32,0.9428430555555556,1
medium,33,0.9428430555555556,2
medium,34,0.9428430555555556,3
medium,35,0.9428430555555556,4
medium,36,0.9428430555555556,5
medium,37,0.9428430555555556,6
medium,38,0.9428430555555556,7
medium,39,0.9428430555555556,8
medium,40,0.9428430555555556,9
medium,41,0.9428430555555556,10
medium,42,0.9428430555555556,11
medium,43,0.9428430555555556,12
medium,44,0.9428430555555556,13
medium,45,0.9428430555555556,14
medium,46,0.9428430555555556,15
medium,47,0.9428430555555556,16
medium,48,0.9428430555555556,17
medium,49,0.9428430555555556,18
medium,50,0.9428430555555556,19
medium,51,0.9428430555555556,20
medium,52,0.9428430555555556,21
medium,53,0.9428430555555556,22
medium,54,0.9428430555555556,23
medium,55,0.9428430555555556,24
medium,56,0.9428430555555556,25
medium,57,0.9428430555555556,26
medium,58,0.9428430555555556,27
medium,59,0.9428430555555556,28
medium,60,0.9428430555555556,29
hard,61,0.9849215277777779,0
hard,62,0.9843715277777778,1
hard,63,0.9849215277777779,2
hard,64,0.9843715277777778,3
hard,65,0.9849215277777779,4
hard,66,0.9843715277777778,5
hard,67,0.9849215277777779,6
hard,68,0.9843715277777778,7
hard,69,0.9849215277777779,8
hard,70,0.9843715277777778,9
hard,71,0.9849215277777779,10
hard,72,0.9843715277777778,11
hard,73,0.9849215277777779,12
hard,74,0.9843715277777778,13
hard,75,0.9849215277777779,14
hard,76,0.9843715277777778,15
hard,77,0.9849215277777779,16
hard,78,0.9843715277777778,17
hard,79,0.9849215277777779,18
hard,80,0.9843715277777778,19
hard,81,0.9849215277777779,20
hard,82,0.9843715277777778,21
hard,83,0.9849215277777779,22
hard,84,0.9843715277777778,23
hard,85,0.9849215277777779,24
hard,86,0.9843715277777778,25
hard,87,0.9849215277777779,26
hard,88,0.9843715277777778,27
hard,89,0.9849215277777779,28
hard,90,0.9843715277777778,29
